"id","data.Count","data.Percentage","tree.Count","tree.Percentage","total.Percentage"
"Marantaceae",100,0.61,16,0.38,16
"Alismataceae",25,0.15,15,0.35,60
"Cucurbitaceae",82,0.5,15,0.35,18.29
"Eriocaulaceae",507,3.1,15,0.35,2.96
"Urticaceae",38,0.23,15,0.35,39.47
"Amaranthaceae",100,0.61,14,0.33,14
"Amaryllidaceae",47,0.29,14,0.33,29.79
"Boraginaceae",91,0.56,14,0.33,15.38
"Pontederiaceae",18,0.11,14,0.33,77.78
"Symplocaceae",25,0.15,14,0.33,56
"Meliaceae",35,0.21,13,0.31,37.14
"Podostemaceae",22,0.13,13,0.31,59.09
"Anacardiaceae",29,0.18,12,0.28,41.38
"Commelinaceae",65,0.4,12,0.28,18.46
"Plantaginaceae",74,0.45,12,0.28,16.22
"Campanulaceae",31,0.19,10,0.24,32.26
"Menispermaceae",31,0.19,10,0.24,32.26
"Ochnaceae",83,0.51,10,0.24,12.05
"Onagraceae",33,0.2,10,0.24,30.3
"Simaroubaceae",18,0.11,10,0.24,55.56
"Acanthaceae",188,1.15,9,0.21,4.79
"Aquifoliaceae",36,0.22,9,0.21,25
"Burseraceae",27,0.17,9,0.21,33.33
"Combretaceae",31,0.19,9,0.21,29.03
"Droseraceae",23,0.14,9,0.21,39.13
"Portulacaceae",13,0.08,9,0.21,69.23
"Araliaceae",34,0.21,8,0.19,23.53
"Cleomaceae",21,0.13,8,0.19,38.1
"Hydrocharitaceae",12,0.07,8,0.19,66.67
"Nyctaginaceae",33,0.2,8,0.19,24.24
"Phytolaccaceae",19,0.12,8,0.19,42.11
"Clusiaceae",33,0.2,7,0.17,21.21
"Loasaceae",8,0.05,7,0.17,87.5
"Lythraceae",120,0.73,7,0.17,5.83
"Primulaceae",67,0.41,7,0.17,10.45
"Quiinaceae",8,0.05,7,0.17,87.5
"Rutaceae",102,0.62,7,0.17,6.86
"Velloziaceae",193,1.18,7,0.17,3.63
"Vochysiaceae",49,0.3,7,0.17,14.29
"Caricaceae",6,0.04,6,0.14,100
"Ericaceae",56,0.34,6,0.14,10.71
"Loganiaceae",71,0.43,6,0.14,8.45
"Olacaceae",19,0.12,6,0.14,31.58
"Apiaceae",31,0.19,5,0.12,16.13
"Calophyllaceae",32,0.2,5,0.12,15.62
"Ebenaceae",17,0.1,5,0.12,29.41
"Rhamnaceae",27,0.17,5,0.12,18.52
"Begoniaceae",61,0.37,4,0.09,6.56
"Capparaceae",14,0.09,4,0.09,28.57
"Hypericaceae",16,0.1,4,0.09,25
"Linderniaceae",6,0.04,4,0.09,66.67
"Myristicaceae",12,0.07,4,0.09,33.33
"Potamogetonaceae",9,0.06,4,0.09,44.44
"Turneraceae",98,0.6,4,0.09,4.08
"Burmanniaceae",11,0.07,3,0.07,27.27
"Cabombaceae",4,0.02,3,0.07,75
"Cannaceae",3,0.02,3,0.07,100
"Elaeocarpaceae",12,0.07,3,0.07,25
"Erythroxylaceae",88,0.54,3,0.07,3.41
"Escalloniaceae",6,0.04,3,0.07,50
"Hernandiaceae",6,0.04,3,0.07,50
"Icacinaceae",9,0.06,3,0.07,33.33
"Lacistemataceae",6,0.04,3,0.07,50
"Martyniaceae",3,0.02,3,0.07,100
"Molluginaceae",4,0.02,3,0.07,75
"Monimiaceae",18,0.11,3,0.07,16.67
"Peraceae",9,0.06,3,0.07,33.33
"Proteaceae",18,0.11,3,0.07,16.67
"Rhizophoraceae",4,0.02,3,0.07,75
"Rosaceae",10,0.06,3,0.07,30
"Siparunaceae",7,0.04,3,0.07,42.86
"Typhaceae",3,0.02,3,0.07,100
"Xyridaceae",117,0.72,3,0.07,2.56
"Asparagaceae",8,0.05,2,0.05,25
"Bixaceae",5,0.03,2,0.05,40
"Brassicaceae",2,0.01,2,0.05,100
"Cannabaceae",5,0.03,2,0.05,40
"Cardiopteridaceae",4,0.02,2,0.05,50
"Cunoniaceae",7,0.04,2,0.05,28.57
"Haemodoraceae",2,0.01,2,0.05,100
"Juncaceae",4,0.02,2,0.05,50
"Loranthaceae",62,0.38,2,0.05,3.23
"Marcgraviaceae",11,0.07,2,0.05,18.18
"Menyanthaceae",2,0.01,2,0.05,100
"Nymphaeaceae",9,0.06,2,0.05,22.22
"Oleaceae",9,0.06,2,0.05,22.22
"Orobanchaceae",29,0.18,2,0.05,6.9
"Oxalidaceae",51,0.31,2,0.05,3.92
"Ranunculaceae",9,0.06,2,0.05,22.22
"Santalaceae",42,0.26,2,0.05,4.76
"Trigoniaceae",12,0.07,2,0.05,16.67
"Vitaceae",29,0.18,2,0.05,6.9
"Achariaceae",8,0.05,1,0.02,12.5
"Adoxaceae",1,0.01,1,0.02,100
"Aizoaceae",1,0.01,1,0.02,100
"Basellaceae",2,0.01,1,0.02,50
"Bataceae",1,0.01,1,0.02,100
"Bonnetiaceae",1,0.01,1,0.02,100
"Caryocaraceae",6,0.04,1,0.02,16.67
"Ceratophyllaceae",1,0.01,1,0.02,100
"Chloranthaceae",1,0.01,1,0.02,100
"Clethraceae",1,0.01,1,0.02,100
"Connaraceae",31,0.19,1,0.02,3.23
"Costaceae",6,0.04,1,0.02,16.67
"Cyclanthaceae",7,0.04,1,0.02,14.29
"Cymodoceaceae",2,0.01,1,0.02,50
"Dichapetalaceae",6,0.04,1,0.02,16.67
"Goodeniaceae",1,0.01,1,0.02,100
"Goupiaceae",1,0.01,1,0.02,100
"Haloragaceae",2,0.01,1,0.02,50
"Heliconiaceae",12,0.07,1,0.02,8.33
"Hypoxidaceae",3,0.02,1,0.02,33.33
"Linaceae",4,0.02,1,0.02,25
"Magnoliaceae",1,0.01,1,0.02,100
"Mayacaceae",4,0.02,1,0.02,25
"Myoporaceae",1,0.01,1,0.02,100
"Pentaphylacaceae",5,0.03,1,0.02,20
"Picramniaceae",14,0.09,1,0.02,7.14
"Plumbaginaceae",1,0.01,1,0.02,100
"Rapateaceae",4,0.02,1,0.02,25
"Ruppiaceae",1,0.01,1,0.02,100
"Schlegeliaceae",1,0.01,1,0.02,100
"Stemonuraceae",1,0.01,1,0.02,100
"Styracaceae",15,0.09,1,0.02,6.67
"Surianaceae",1,0.01,1,0.02,100
"Theaceae",1,0.01,1,0.02,100
"Thymelaeaceae",8,0.05,1,0.02,12.5
"Ulmaceae",3,0.02,1,0.02,33.33
"Zingiberaceae",5,0.03,1,0.02,20
"Zygophyllaceae",2,0.01,1,0.02,50
"Apodanthaceae",2,0.01,NA,NA,NA
"Balanophoraceae",8,0.05,NA,NA,NA
"Berberidaceae",3,0.02,NA,NA,NA
"Calyceraceae",1,0.01,NA,NA,NA
"Canellaceae",1,0.01,NA,NA,NA
"Caprifoliaceae",6,0.04,NA,NA,NA
"Caryophyllaceae",3,0.02,NA,NA,NA
"Elatinaceae",1,0.01,NA,NA,NA
"Gentianaceae",57,0.35,NA,NA,NA
"Griseliniaceae",1,0.01,NA,NA,NA
"Humiriaceae",4,0.02,NA,NA,NA
"Hydnoraceae",1,0.01,NA,NA,NA
"Hydroleaceae",1,0.01,NA,NA,NA
"Krameriaceae",4,0.02,NA,NA,NA
"Laxmanniaceae",1,0.01,NA,NA,NA
"Opiliaceae",1,0.01,NA,NA,NA
"Picrodendraceae",2,0.01,NA,NA,NA
"Putranjivaceae",2,0.01,NA,NA,NA
"Rhabdodendraceae",1,0.01,NA,NA,NA
"Sabiaceae",3,0.02,NA,NA,NA
"Schoepfiaceae",2,0.01,NA,NA,NA
"Scrophulariaceae",8,0.05,NA,NA,NA
"Smilacaceae",27,0.17,NA,NA,NA
"Taccaceae",1,0.01,NA,NA,NA
"Thismiaceae",1,0.01,NA,NA,NA
"Triuridaceae",4,0.02,NA,NA,NA
"Tropaeolaceae",1,0.01,NA,NA,NA
"Vivianiaceae",1,0.01,NA,NA,NA
"Winteraceae",1,0.01,NA,NA,NA
